element_library_index,element_library,object_kind,object_index,name,alias,description,category,interface,compiled_file,guessed_icon_key,guessed_icon_path,resolved_icon_path,icon_exists,generic_fallback,review_reason
11,golem,SubComponent,0,MVMFloatArray,,Implements a Compute array using manual MVM with floating-point representation,,SST::Golem::MVMComputeArray<float>,../../../../src/sst/elements/golem/array/mvmFloatArray.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path
11,golem,SubComponent,1,MVMIntArray,,Implements a Compute array using manual MVM with integer representation,,SST::Golem::MVMComputeArray<int64_t>,../../../../src/sst/elements/golem/array/mvmIntArray.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path
12,hg,Component,0,Node,,Simple Mercury node,UNCATEGORIZED COMPONENT,,../../../../src/sst/elements/mercury/components/node.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path
12,hg,Component,1,NodeCL,,Mercury Node including ComputeLibrary,UNCATEGORIZED COMPONENT,,../../../../src/sst/elements/mercury/components/compute_library/node_cl.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path
12,hg,SubComponent,0,OperatingSystem,,Mercury Operating System,,SST::Hg::OperatingSystemAPI,../../../../src/sst/elements/mercury/components/operating_system.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path
12,hg,SubComponent,1,OperatingSystemCL,,Mercury Operating System using ComputeLibrary,,SST::Hg::OperatingSystemCLAPI,../../../../src/sst/elements/mercury/components/compute_library/operating_system_cl.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path
14,llyr,Component,0,LlyrDataflow,,Configurable Dataflow Component,UNCATEGORIZED COMPONENT,,llyr.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path
15,memHierarchy,Component,3,CoherentMemController,,"Coherent memory controller, supports cache shootdowns and interfaces to a main memory model for timing",MEMORY COMPONENT,,coherentMemoryController.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path
15,memHierarchy,Component,5,MemCacheController,,"Memory controller, interfaces to a main memory model for timing",MEMORY COMPONENT,,memoryCacheController.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path
15,memHierarchy,Component,6,MemController,,"Memory controller, interfaces to a main memory model for timing",MEMORY COMPONENT,,memoryController.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path
15,memHierarchy,Component,10,mmioEx,,Example MMIO device for testing interface,MEMORY COMPONENT,,./testcpu/standardMMIO.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path
15,memHierarchy,SubComponent,1,MemLink,,Memory-oriented link interface,,SST::MemHierarchy::MemLinkBase,memLink.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path
15,memHierarchy,SubComponent,6,Messier,,Messier memory timings,,SST::MemHierarchy::SimpleMemBackend,./membackend/MessierBackend.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path
15,memHierarchy,SubComponent,7,coherence.incoherent,,Implements an second level or greater cache without coherence,,SST::MemHierarchy::CoherenceController,./coherencemgr/Incoherent.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path
15,memHierarchy,SubComponent,8,coherence.incoherent_l1,,Implements an L1 cache without coherence,,SST::MemHierarchy::CoherenceController,./coherencemgr/Incoherent_L1.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path
15,memHierarchy,SubComponent,9,coherence.mesi_inclusive,,Implements MESI or MSI coherence for a second level or greater cache,,SST::MemHierarchy::CoherenceController,./coherencemgr/MESI_Inclusive.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path
15,memHierarchy,SubComponent,10,coherence.mesi_l1,,Implements MESI or MSI coherence for an L1 cache,,SST::MemHierarchy::CoherenceController,./coherencemgr/MESI_L1.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path
15,memHierarchy,SubComponent,11,coherence.mesi_private_noninclusive,,"Implements MESI or MSI coherence for a non-inclusive, non-L1 private cache",,SST::MemHierarchy::CoherenceController,./coherencemgr/MESI_Private_Noninclusive.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path
15,memHierarchy,SubComponent,14,defCustomCmdHandler,,"Default, custom command handler that copies custom data to backend",,SST::MemHierarchy::CustomCmdMemHandler,./customcmd/defCustomCmdHandler.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path
15,memHierarchy,SubComponent,15,emptyCacheListener,,Empty cache listener,,SST::MemHierarchy::CacheListener,../../../../src/sst/elements/memHierarchy/cacheListener.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path
15,memHierarchy,SubComponent,16,extMemBackendConvertor,,Converts MemEventBase* for an ExtMemBackend - passes additional opcode information,,SST::MemHierarchy::MemBackendConvertor,../../../../src/sst/elements/memHierarchy/membackend/extMemBackendConvertor.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path
15,memHierarchy,SubComponent,18,flagMemBackendConvertor,,Convert MemEventBase* for a FlagMemBackend - accepts and returns the 'flags' field,,SST::MemHierarchy::FlagMemBackendConvertor,../../../../src/sst/elements/memHierarchy/membackend/flagMemBackendConvertor.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path
15,memHierarchy,SubComponent,19,hash.linear,,Linear hash from C99 standard's RNG function,,SST::MemHierarchy::HashFunction,../../../../src/sst/elements/memHierarchy/hash.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path
15,memHierarchy,SubComponent,23,reorderByRow,,"Request re-orderer, groups requests by row",,SST::MemHierarchy::SimpleMemBackend,./membackend/requestReorderByRow.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path
15,memHierarchy,SubComponent,24,reorderSimple,,"Simple request re-orderer, issues the first N requests that are accepted by the backend",,SST::MemHierarchy::SimpleMemBackend,./membackend/requestReorderSimple.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path
15,memHierarchy,SubComponent,26,replacement.lfu,,"least-frequently-used replacement policy, recently used accesses are more heavily weighted",,SST::MemHierarchy::ReplacementPolicy,../../../../src/sst/elements/memHierarchy/replacementManager.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path
15,memHierarchy,SubComponent,27,replacement.lfu-opt,,"least-frequently-used replacement policy, recently used accesses are more heavily weighted. Also considers coherence state in replacement decision",,SST::MemHierarchy::ReplacementPolicy,../../../../src/sst/elements/memHierarchy/replacementManager.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path
15,memHierarchy,SubComponent,28,replacement.lru,,least-recently-used replacement policy,,SST::MemHierarchy::ReplacementPolicy,../../../../src/sst/elements/memHierarchy/replacementManager.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path
15,memHierarchy,SubComponent,29,replacement.lru-opt,,least-recently-used replacement policy with consideration for coherence state,,SST::MemHierarchy::ReplacementPolicy,../../../../src/sst/elements/memHierarchy/replacementManager.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path
15,memHierarchy,SubComponent,30,replacement.mru,,most-recently-used replacement policy,,SST::MemHierarchy::ReplacementPolicy,../../../../src/sst/elements/memHierarchy/replacementManager.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path
15,memHierarchy,SubComponent,31,replacement.mru-opt,,"most-recently-used replacement policy, with consideration for coherence state",,SST::MemHierarchy::ReplacementPolicy,../../../../src/sst/elements/memHierarchy/replacementManager.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path
15,memHierarchy,SubComponent,32,replacement.nmru,,"not-most-recently-used, random replacement among all but the most recently used line in a set",,SST::MemHierarchy::ReplacementPolicy,../../../../src/sst/elements/memHierarchy/replacementManager.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path
15,memHierarchy,SubComponent,33,replacement.random,,random replacement policy,,SST::MemHierarchy::ReplacementPolicy,../../../../src/sst/elements/memHierarchy/replacementManager.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path
15,memHierarchy,SubComponent,35,simpleMem,,Basic constant-access-time memory timing model,,SST::MemHierarchy::SimpleMemBackend,../../../../src/sst/elements/memHierarchy/membackend/simpleMemBackend.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path
15,memHierarchy,SubComponent,36,simpleMemBackendConvertor,,Converts a MemEventBase* for base MemBackend,,SST::MemHierarchy::SimpleMemBackendConvertor,../../../../src/sst/elements/memHierarchy/membackend/simpleMemBackendConvertor.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path
15,memHierarchy,SubComponent,37,simpleMemScratchBackendConvertor,,Convert a MemEventBase to a base MemBacked but uses a different interface than MemBackendConvertor,,SST::MemHierarchy::ScratchBackendConvertor,./membackend/simpleMemScratchBackendConvertor.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path
15,memHierarchy,SubComponent,39,standardInterface,,Interface to memory hierarchy between endpoint and cache. Converts StandardMem requests into MemEventBases.,,SST::Interfaces::StandardMem,standardInterface.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path
15,memHierarchy,SubComponent,42,vaultsim,,"Backend to interface with vaultsim, a generic vaulted memory model",,SST::MemHierarchy::FlagMemBackend,./membackend/vaultSimBackend.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path
16,merlin,Component,3,hr_router,,High radix router,NETWORK COMPONENT,,./hr_router/hr_router.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path
16,merlin,Component,8,simple_patterns.empty,,.,NETWORK COMPONENT,,../../../../src/sst/elements/merlin/test/simple_patterns/empty.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path
16,merlin,SubComponent,0,arb.output.basic,,Basic output arbitration for PortControl,,SST::Merlin::PortInterface::OutputArbitration,interfaces/output_arb_basic.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path
16,merlin,SubComponent,1,arb.output.qos.multi,,Multi-level output arbitration with quality of service for PortControl,,SST::Merlin::PortInterface::OutputArbitration,interfaces/output_arb_qos_multi.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path
16,merlin,SubComponent,2,circuit_network_inspector,,Used to count the number of network circuits (as in 'circuit switched' circuits),,SST::Interfaces::SimpleNetwork::NetworkInspector,inspectors/circuitCounter.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path
16,merlin,SubComponent,3,dragonfly,,Dragonfly topology object.  Implements a dragonfly with a single all to all pattern within the group.,,SST::Merlin::Topology,topology/dragonfly.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path
16,merlin,SubComponent,4,fattree,,Fattree topology object,,SST::Merlin::Topology,topology/fattree.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path
16,merlin,SubComponent,5,hyperx,,Multi-dimensional hyperx topology object,,SST::Merlin::Topology,topology/hyperx.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path
16,merlin,SubComponent,7,mesh,,Multi-dimensional mesh topology object,,SST::Merlin::Topology,topology/mesh.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path
16,merlin,SubComponent,8,polarfly,,PolarFly: A Cost-effective Two-diameter highly scalable topology object,,SST::Merlin::Topology,topology/polarfly.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path
16,merlin,SubComponent,9,polarstar,,PolarStar: Highly Scalable Diameter-3 Topology Object,,SST::Merlin::Topology,topology/polarstar.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path
16,merlin,SubComponent,10,portcontrol,,Port Control module for use by hr_router,,SST::Merlin::PortInterface,./interfaces/portControl.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path
16,merlin,SubComponent,11,reorderlinkcontrol,,Link Control module that can handle out of order packet arrival. Events are sequenced and order is reconstructed on receive.,,SST::Interfaces::SimpleNetwork,interfaces/reorderLinkControl.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path
16,merlin,SubComponent,12,singlerouter,,"Simple, single-router topology object",,SST::Merlin::Topology,topology/singlerouter.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path
16,merlin,SubComponent,16,test_network_inspector,,Used to test NetworkInspector functionality.  Duplicates send_packet_count in hr_router.,,SST::Interfaces::SimpleNetwork::NetworkInspector,inspectors/testInspector.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path
16,merlin,SubComponent,17,torus,,Multi-dimensional torus topology object,,SST::Merlin::Topology,topology/torus.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path
22,serrano,SubComponent,0,SerranoBasicUnit,,Basic coarse-grained functional unit for simple operations,,SST::Serrano::SerranoCoarseUnit,serstdunit.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path
22,serrano,SubComponent,1,SerranoIteratorUnit,,Performs iteration-like behavior,,SST::Serrano::SerranoCoarseUnit,seriterunit.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path
24,simpleElementExample,Component,1,basicLinks,,Basic: managing links example,UNCATEGORIZED COMPONENT,,basicLinks.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path
24,simpleElementExample,Component,4,basicStatistics,,Basic usage of SST Statistics,UNCATEGORIZED COMPONENT,,basicStatistics.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path
24,simpleElementExample,Component,5,basicSubComponent_comp,,Basic: Using subcomponents,UNCATEGORIZED COMPONENT,,basicSubComponent_component.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path
24,simpleElementExample,Component,7,example1,,"Example #2, statistics & RNG",UNCATEGORIZED COMPONENT,,example1.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path
27,thornhill,Component,0,MemoryHeap,,,UNCATEGORIZED COMPONENT,,memoryHeap.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path; missing description
27,thornhill,SubComponent,0,MemoryHeapLink,,,,SST::Thornhill::MemoryHeapLink,../../../../src/sst/elements/thornhill/memoryHeapLink.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path; missing description
27,thornhill,SubComponent,1,SingleThread,,,,SST::Thornhill::SingleThread,singleThread.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path; missing description
28,vanadis,SubComponent,0,VanadisBasicBranchUnit,,Implements basic branch prediction capability that stores the last branch direction in a cache,,SST::Vanadis::VanadisBranchUnit,./vbranch/vbranchbasic.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path
28,vanadis,SubComponent,6,VanadisRoCCBasic,,Implements a basic example of a RoCC accelerator,,SST::Vanadis::VanadisRoCCInterface,rocc/vbasicrocc.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path
29,vaultsim,Component,1,logicLayer,,A logic layer in a stacked memory,MEMORY COMPONENT,,logicLayer.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path
29,vaultsim,Component,2,vaultsim,,A memory vault in a stacked memory,MEMORY COMPONENT,,vaultsim.h,generic_component,,.,yes,yes,generic fallback; resolver returned empty icon path
